category,raw_elements,raw_nodes,raw_ways,raw_relations,raw_untagged_support_nodes,geojson_features,geojson_point_features,geojson_line_features,geojson_polygon_features,geojson_untagged_support_points,mask_count,nonempty_mask_count,occupied_pixel_fraction
building,19683,17353,2295,35,17353,19682,17353,99,2230,17353,127,115,0.41642814576156495
building_with_height,9237,8180,1057,0,8180,9237,8180,0,1057,8180,127,85,0.1452703232652559
road,17373,12813,4560,0,12813,17373,12813,4435,125,12813,127,127,0.058062984436515745
water,5503,5392,106,5,5392,5503,5392,34,77,5392,127,12,0.016569209061269685
landuse,4177,3998,178,1,3998,4177,3998,0,179,3998,127,61,0.13450149175688977
green,2097,1999,97,1,1999,2097,1999,0,98,1999,127,46,0.157722687007874
railway,1238,1141,97,0,1141,1238,1141,86,11,1141,127,62,0.009421963428887795
barrier,7974,6747,1227,0,6747,7974,6747,1123,104,6747,127,109,0.0738145723117618
