satellite,lat,lon,dsm_tile,valid_ratio,elev_min,elev_max,elev_mean,fully_valid,partial,empty
sat_51.506105_-0.133183.png,51.506105,-0.133183,TQ28se_FZ_DSM_1m.tif,1.0,7.046,43.201,20.313,True,False,False
sat_51.506640_-0.123742.png,51.506640,-0.123742,TQ38sw_FZ_DSM_1m.tif,1.0,3.077,47.530,15.489,True,False,False
sat_51.506640_-0.124600.png,51.506640,-0.124600,TQ38sw_FZ_DSM_1m.tif,1.0,4.980,47.794,29.535,True,False,False
sat_51.506640_-0.125459.png,51.506640,-0.125459,TQ38sw_FZ_DSM_1m.tif,1.0,3.377,44.046,23.030,True,False,False
sat_51.506640_-0.126317.png,51.506640,-0.126317,TQ38sw_FZ_DSM_1m.tif,1.0,3.788,44.105,20.857,True,False,False
sat_51.506640_-0.127175.png,51.506640,-0.127175,TQ38sw_FZ_DSM_1m.tif,1.0,4.457,35.831,15.506,True,False,False
sat_51.506640_-0.128034.png,51.506640,-0.128034,TQ38sw_FZ_DSM_1m.tif,0.753125,5.045,38.063,17.533,False,True,False
sat_51.506640_-0.128892.png,51.506640,-0.128892,TQ28se_FZ_DSM_1m.tif,1.0,5.364,29.773,14.048,True,False,False
sat_51.506640_-0.129750.png,51.506640,-0.129750,TQ28se_FZ_DSM_1m.tif,1.0,6.765,38.351,17.545,True,False,False
sat_51.506640_-0.130608.png,51.506640,-0.130608,TQ28se_FZ_DSM_1m.tif,1.0,6.246,42.465,22.066,True,False,False
sat_51.506640_-0.131467.png,51.506640,-0.131467,TQ28se_FZ_DSM_1m.tif,1.0,6.321,41.037,21.514,True,False,False
sat_51.507174_-0.123742.png,51.507174,-0.123742,TQ38sw_FZ_DSM_1m.tif,1.0,3.792,62.129,31.949,True,False,False
sat_51.507174_-0.124600.png,51.507174,-0.124600,TQ38sw_FZ_DSM_1m.tif,1.0,3.710,51.432,21.019,True,False,False
sat_51.507174_-0.125459.png,51.507174,-0.125459,TQ38sw_FZ_DSM_1m.tif,1.0,5.614,45.517,17.875,True,False,False
sat_51.507174_-0.126317.png,51.507174,-0.126317,TQ38sw_FZ_DSM_1m.tif,1.0,4.014,48.060,24.675,True,False,False
sat_51.507174_-0.127175.png,51.507174,-0.127175,TQ38sw_FZ_DSM_1m.tif,1.0,4.342,46.183,16.235,True,False,False
sat_51.507174_-0.128034.png,51.507174,-0.128034,TQ38sw_FZ_DSM_1m.tif,0.726562,5.825,28.840,9.957,False,True,False
sat_51.507174_-0.128892.png,51.507174,-0.128892,TQ28se_FZ_DSM_1m.tif,1.0,3.051,37.930,19.513,True,False,False
sat_51.507174_-0.129750.png,51.507174,-0.129750,TQ28se_FZ_DSM_1m.tif,1.0,6.925,42.680,27.701,True,False,False
sat_51.507174_-0.130608.png,51.507174,-0.130608,TQ28se_FZ_DSM_1m.tif,1.0,7.562,42.540,26.162,True,False,False
sat_51.507174_-0.131467.png,51.507174,-0.131467,TQ28se_FZ_DSM_1m.tif,1.0,9.225,42.504,25.536,True,False,False
sat_51.507174_-0.132325.png,51.507174,-0.132325,TQ28se_FZ_DSM_1m.tif,1.0,6.584,36.953,12.938,True,False,False
