grid,file,latitude,longitude
sparse_127,sat_51.502900_-0.134042.png,51.5029,-0.134042
sparse_127,sat_51.503434_-0.131467.png,51.503434,-0.131467
sparse_127,sat_51.503434_-0.132325.png,51.503434,-0.132325
sparse_127,sat_51.503434_-0.133183.png,51.503434,-0.133183
sparse_127,sat_51.503434_-0.134042.png,51.503434,-0.134042
sparse_127,sat_51.503968_-0.130608.png,51.503968,-0.130608
sparse_127,sat_51.503968_-0.131467.png,51.503968,-0.131467
sparse_127,sat_51.503968_-0.132325.png,51.503968,-0.132325
sparse_127,sat_51.503968_-0.133183.png,51.503968,-0.133183
sparse_127,sat_51.503968_-0.134900.png,51.503968,-0.1349
sparse_127,sat_51.504503_-0.128892.png,51.504503,-0.128892
sparse_127,sat_51.504503_-0.129750.png,51.504503,-0.12975
sparse_127,sat_51.504503_-0.130608.png,51.504503,-0.130608
sparse_127,sat_51.504503_-0.131467.png,51.504503,-0.131467
sparse_127,sat_51.504503_-0.132325.png,51.504503,-0.132325
sparse_127,sat_51.504503_-0.134042.png,51.504503,-0.134042
sparse_127,sat_51.505037_-0.124600.png,51.505037,-0.1246
sparse_127,sat_51.505037_-0.125459.png,51.505037,-0.125459
sparse_127,sat_51.505037_-0.126317.png,51.505037,-0.126317
sparse_127,sat_51.505037_-0.127175.png,51.505037,-0.127175
sparse_127,sat_51.505037_-0.129750.png,51.505037,-0.12975
sparse_127,sat_51.505037_-0.130608.png,51.505037,-0.130608
sparse_127,sat_51.505037_-0.131467.png,51.505037,-0.131467
sparse_127,sat_51.505037_-0.132325.png,51.505037,-0.132325
sparse_127,sat_51.505037_-0.133183.png,51.505037,-0.133183
sparse_127,sat_51.505571_-0.124600.png,51.505571,-0.1246
sparse_127,sat_51.505571_-0.125459.png,51.505571,-0.125459
sparse_127,sat_51.505571_-0.126317.png,51.505571,-0.126317
sparse_127,sat_51.505571_-0.127175.png,51.505571,-0.127175
sparse_127,sat_51.505571_-0.128892.png,51.505571,-0.128892
sparse_127,sat_51.505571_-0.129750.png,51.505571,-0.12975
sparse_127,sat_51.505571_-0.130608.png,51.505571,-0.130608
sparse_127,sat_51.505571_-0.131467.png,51.505571,-0.131467
sparse_127,sat_51.505571_-0.134042.png,51.505571,-0.134042
sparse_127,sat_51.506105_-0.123742.png,51.506105,-0.123742
sparse_127,sat_51.506105_-0.124600.png,51.506105,-0.1246
sparse_127,sat_51.506105_-0.125459.png,51.506105,-0.125459
sparse_127,sat_51.506105_-0.126317.png,51.506105,-0.126317
sparse_127,sat_51.506105_-0.127175.png,51.506105,-0.127175
sparse_127,sat_51.506105_-0.128034.png,51.506105,-0.128034
sparse_127,sat_51.506105_-0.128892.png,51.506105,-0.128892
sparse_127,sat_51.506105_-0.129750.png,51.506105,-0.12975
sparse_127,sat_51.506105_-0.130608.png,51.506105,-0.130608
sparse_127,sat_51.506105_-0.131467.png,51.506105,-0.131467
sparse_127,sat_51.506105_-0.132325.png,51.506105,-0.132325
sparse_127,sat_51.506105_-0.133183.png,51.506105,-0.133183
sparse_127,sat_51.506640_-0.123742.png,51.50664,-0.123742
sparse_127,sat_51.506640_-0.124600.png,51.50664,-0.1246
sparse_127,sat_51.506640_-0.125459.png,51.50664,-0.125459
sparse_127,sat_51.506640_-0.126317.png,51.50664,-0.126317
sparse_127,sat_51.506640_-0.127175.png,51.50664,-0.127175
sparse_127,sat_51.506640_-0.128034.png,51.50664,-0.128034
sparse_127,sat_51.506640_-0.128892.png,51.50664,-0.128892
sparse_127,sat_51.506640_-0.129750.png,51.50664,-0.12975
sparse_127,sat_51.506640_-0.130608.png,51.50664,-0.130608
sparse_127,sat_51.506640_-0.131467.png,51.50664,-0.131467
sparse_127,sat_51.507174_-0.123742.png,51.507174,-0.123742
sparse_127,sat_51.507174_-0.124600.png,51.507174,-0.1246
sparse_127,sat_51.507174_-0.125459.png,51.507174,-0.125459
sparse_127,sat_51.507174_-0.126317.png,51.507174,-0.126317
sparse_127,sat_51.507174_-0.127175.png,51.507174,-0.127175
sparse_127,sat_51.507174_-0.128034.png,51.507174,-0.128034
sparse_127,sat_51.507174_-0.128892.png,51.507174,-0.128892
sparse_127,sat_51.507174_-0.129750.png,51.507174,-0.12975
sparse_127,sat_51.507174_-0.130608.png,51.507174,-0.130608
sparse_127,sat_51.507174_-0.131467.png,51.507174,-0.131467
sparse_127,sat_51.507174_-0.132325.png,51.507174,-0.132325
sparse_127,sat_51.507708_-0.122884.png,51.507708,-0.122884
sparse_127,sat_51.507708_-0.123742.png,51.507708,-0.123742
sparse_127,sat_51.507708_-0.124600.png,51.507708,-0.1246
sparse_127,sat_51.507708_-0.125459.png,51.507708,-0.125459
sparse_127,sat_51.507708_-0.126317.png,51.507708,-0.126317
sparse_127,sat_51.507708_-0.127175.png,51.507708,-0.127175
sparse_127,sat_51.507708_-0.128034.png,51.507708,-0.128034
