route,osm_way,vertices,faces,relief_m,boundary_edges,nonmanifold_edges,watertight,dsm_vertex_coverage_ratio
large_image,369245408,16644,32597,28.117041047108053,681,0,False,1.0
independent_tiles,369245408,21555,42524,38.067963999999996,1074,384,False,1.0
